,Description,Max score,Total score,Query cover,E value,Ident,Accession,,
Select seq WP_020616868.1,carbohydrate-binding protein [Paenibacillus daejeonensis],58.8,58.8,0.6,1.00E-05,0.18,WP_020616868.1,,
Select seq XP_018062735.1,glycoside hydrolase [Phialocephala scopiformis],57.9,57.9,0.77,2.00E-05,0.18,XP_018062735.1,,
Select seq WP_033165047.1,carbohydrate-binding protein [Clostridium sp. KNHs205],58.2,58.2,0.61,2.00E-05,0.18,WP_033165047.1,,
Select seq WP_111268889.1,carbohydrate-binding protein [Paenibacillus silvae],53.8,53.8,0.14,3.00E-04,0.18,WP_111268889.1,,
Select seq WP_088984398.1,glucosylceramidase [Micromonospora echinospora],136,136,0.81,4.00E-31,0.19,WP_088984398.1,,
Select seq WP_110704702.1,glucosylceramidase [Streptosporangium sp. 'caverna'],126,126,0.79,8.00E-28,0.19,WP_110704702.1,,
Select seq WP_082787407.1,carbohydrate-binding protein [Candidatus Stoquefichus sp. KLE1796],121,121,0.83,1.00E-25,0.19,WP_082787407.1,,
Select seq WP_034262902.1,hypothetical protein [Actinospica robiniae],100,100,0.77,5.00E-19,0.19,WP_034262902.1,,
Select seq XP_007718938.1,glycoside hydrolase family 30 protein [Bipolaris zeicola 26-R-13],97.2,97.2,0.85,2.00E-18,0.19,XP_007718938.1,,
Select seq WP_108494764.1,hypothetical protein [Promicromonospora sp. AC04],96.9,96.9,0.8,3.00E-18,0.19,WP_108494764.1,,
Select seq XP_014550292.1,glycoside hydrolase family 30 protein [Bipolaris victoriae FI3],96,96,0.85,6.00E-18,0.19,XP_014550292.1,,
Select seq WP_111182442.1,hypothetical protein [Nonomuraea sp. KC333],92.2,92.2,0.79,1.00E-16,0.19,WP_111182442.1,,
Select seq WP_103954133.1,hypothetical protein [Nonomuraea solani],89,89,0.8,1.00E-15,0.19,WP_103954133.1,,
Select seq WP_106235764.1,hypothetical protein [Nonomuraea fuscirosea],87.2,87.2,0.79,4.00E-15,0.19,WP_106235764.1,,
Select seq WP_083676032.1,hypothetical protein [Paenibacillus sp. FSL H8-0548],87.2,87.2,0.86,1.00E-14,0.19,WP_083676032.1,,
Select seq XP_016589078.1,cellulose hydrolase [Sporothrix schenckii 1099-18],86.3,86.3,0.78,1.00E-14,0.19,XP_016589078.1,,
Select seq WP_051450299.1,hypothetical protein [Actinospica robiniae],84.6,84.6,0.75,8.00E-14,0.19,WP_051450299.1,,
Select seq WP_030219973.1,ricin B lectin [Streptomyces griseoluteus],79.9,79.9,0.77,1.00E-12,0.19,WP_030219973.1,,
Select seq WP_015712818.1,lipoprotein [Treponema azotonutricium],80.8,80.8,0.61,2.00E-12,0.19,WP_015712818.1,,
Select seq WP_080037970.1,hypothetical protein [Nonomuraea sp. ATCC 55076],77.2,77.2,0.81,9.00E-12,0.19,WP_080037970.1,,
Select seq WP_008788189.1,carbohydrate-binding protein [Coprobacillus cateniformis],77.5,77.5,0.25,2.00E-11,0.19,WP_008788189.1,,
Select seq XP_008081017.1,(Trans)glycosidase [Glarea lozoyensis ATCC 20868],75.8,75.8,0.77,3.00E-11,0.19,XP_008081017.1,,
Select seq XP_007311308.1,glycoside hydrolase [Stereum hirsutum FP-91666 SS1],75.8,75.8,0.78,3.00E-11,0.19,XP_007311308.1,,
Select seq WP_053004006.1,glycosyl hydrolase [Sphingobacterium sp. Ag1],75.8,75.8,0.77,4.00E-11,0.19,WP_053004006.1,,
Select seq XP_003660270.1,glycoside hydrolase family 30 protein [Thermothelomyces thermophila ATCC 42464],74.6,74.6,0.79,9.00E-11,0.19,XP_003660270.1,,
Select seq WP_082070803.1,hypothetical protein [Gynuella sunshinyii],74,74,0.6,2.00E-10,0.19,WP_082070803.1,,
Select seq XP_011126228.1,hypothetical protein AOL_s00173g184 [Arthrobotrys oligospora ATCC 24927],73.4,73.4,0.76,3.00E-10,0.19,XP_011126228.1,,
Select seq XP_022504583.1,hypothetical protein AYO20_00968 [Fonsecaea nubica],72.6,72.6,0.77,4.00E-10,0.19,XP_022504583.1,,
Select seq WP_088547567.1,cellulosome protein dockerin type I [Paenibacillus sp. St-s],72.6,72.6,0.57,5.00E-10,0.19,WP_088547567.1,,
Select seq WP_085496519.1,hypothetical protein [Paenibacillus aquistagni],72.6,72.6,0.57,5.00E-10,0.19,WP_085496519.1,,
Select seq XP_008077749.1,(Trans)glycosidase [Glarea lozoyensis ATCC 20868],70.2,70.2,0.77,2.00E-09,0.19,XP_008077749.1,,
Select seq XP_024774089.1,glycoside hydrolase family 30 protein [Trichoderma harzianum CBS 226.95],70.2,70.2,0.76,2.00E-09,0.19,XP_024774089.1,,
Select seq WP_089550065.1,glucuronoxylanase [Paenibacillus sp. SSG-1],69.9,69.9,0.61,2.00E-09,0.19,WP_089550065.1,,
Select seq XP_024677795.1,glycoside hydrolase [Aspergillus novofumigatus IBT 16806],69.3,69.3,0.75,4.00E-09,0.19,XP_024677795.1,,
Select seq WP_067342878.1,xylanase [Marinomonas spartinae],68.7,68.7,0.58,5.00E-09,0.19,WP_067342878.1,,
Select seq WP_067016636.1,xylanase [Marinomonas spartinae],68.7,68.7,0.58,5.00E-09,0.19,WP_067016636.1,,
Select seq WP_017915722.1,xylanase [Xanthomonas sp. SHU 308],68.7,68.7,0.6,5.00E-09,0.19,WP_017915722.1,,
Select seq WP_091656364.1,hypothetical protein [Massilia sp. PDC64],68.7,68.7,0.58,7.00E-09,0.19,WP_091656364.1,,
Select seq WP_077435057.1,glycosyl hydrolase [Sphingobacterium sp. CZ-UAM],68.5,68.5,0.76,9.00E-09,0.19,WP_077435057.1,,
Select seq WP_120259262.1,glycosyl hydrolase [Sphingobacterium detergens],68.5,68.5,0.76,9.00E-09,0.19,WP_120259262.1,,
Select seq XP_018129377.1,hypothetical protein VE01_05882 [Pseudogymnoascus verrucosus],68.5,68.5,0.76,9.00E-09,0.19,XP_018129377.1,,
Select seq WP_017909592.1,xylanase [Xanthomonas sp. SHU 199],67.3,67.3,0.6,1.00E-08,0.19,WP_017909592.1,,
Select seq XP_023435079.1,uncharacterized protein FFUJ_12899 [Fusarium fujikuroi IMI 58289],67.9,67.9,0.79,1.00E-08,0.19,XP_023435079.1,,
Select seq WP_119851194.1,glucuronoxylanase [Paenibacillus lautus],67.3,67.3,0.59,2.00E-08,0.19,WP_119851194.1,,
Select seq WP_074714115.1,endo-xylanase [Ruminococcus flavefaciens],68.2,68.2,0.6,2.00E-08,0.19,WP_074714115.1,,
Select seq WP_010340282.1,xylanase [Xanthomonas sacchari],66.7,66.7,0.6,2.00E-08,0.19,WP_010340282.1,,
Select seq WP_105378278.1,xylanase [Massilia phosphatilytica],67.3,67.3,0.58,2.00E-08,0.19,WP_105378278.1,,
Select seq WP_088135320.1,xylanase [Vibrio gazogenes],65.5,65.5,0.57,5.00E-08,0.19,WP_088135320.1,,
Select seq WP_069196010.1,MULTISPECIES: carbohydrate-binding protein [Clostridium],65.5,65.5,0.57,1.00E-07,0.19,WP_069196010.1,,
Select seq WP_096774564.1,glucuronoxylanase [Paenibacillus lautus],64.9,64.9,0.6,1.00E-07,0.19,WP_096774564.1,,
Select seq WP_062718792.1,hypothetical protein [Streptomyces caeruleatus],64.9,64.9,0.58,1.00E-07,0.19,WP_062718792.1,,
Select seq WP_030618905.1,hypothetical protein [Streptomyces fulvoviolaceus],64.6,64.6,0.58,1.00E-07,0.19,WP_030618905.1,,
Select seq WP_041622197.1,glucuronoxylanase [Paenibacillus sp. Y412MC10],64.4,64.4,0.59,2.00E-07,0.19,WP_041622197.1,,
Select seq WP_104495891.1,carbohydrate-binding protein [Paenibacillus peoriae],64.4,64.4,0.62,2.00E-07,0.19,WP_104495891.1,,
Select seq XP_001211839.1,conserved hypothetical protein [Aspergillus terreus NIH2624],63.8,63.8,0.77,3.00E-07,0.19,XP_001211839.1,,
Select seq WP_100539384.1,glucuronoxylanase [Paenibacillus sp. GM2FR],63.5,63.5,0.59,3.00E-07,0.19,WP_100539384.1,,
Select seq WP_036660965.1,glucuronoxylanase [Paenibacillus sp. FSL H8-457],63.5,63.5,0.59,3.00E-07,0.19,WP_036660965.1,,
Select seq WP_113059833.1,glucuronoxylanase [Paenibacillus lautus],63.5,63.5,0.59,3.00E-07,0.19,WP_113059833.1,,
Select seq WP_099479787.1,glucuronoxylanase [Paenibacillus ihbetae],63.2,63.2,0.59,3.00E-07,0.19,WP_099479787.1,,
Select seq WP_035400315.1,MULTISPECIES: glucuronoxylanase [Bacillales],63.2,63.2,0.57,4.00E-07,0.19,WP_035400315.1,,
Select seq WP_015810986.1,xylanase [Dyadobacter fermentans],63.5,63.5,0.22,4.00E-07,0.19,WP_015810986.1,,
Select seq WP_025810751.1,MULTISPECIES: glucuronoxylanase [Bacillus],62.6,62.6,0.57,5.00E-07,0.19,WP_025810751.1,,
Select seq WP_105980592.1,glucuronoxylanase [Bacillus paralicheniformis],62.6,62.6,0.57,5.00E-07,0.19,WP_105980592.1,,
Select seq WP_105981375.1,glucuronoxylanase [Bacillus paralicheniformis],62.6,62.6,0.57,5.00E-07,0.19,WP_105981375.1,,
Select seq WP_013309668.1,carbohydrate-binding protein [Paenibacillus polymyxa],63.2,63.2,0.6,5.00E-07,0.19,WP_013309668.1,,
Select seq WP_095323719.1,glucuronoxylanase [Bacillus paralicheniformis],62.3,62.3,0.57,6.00E-07,0.19,WP_095323719.1,,
Select seq WP_084842292.1,xylanase [Zunongwangia atlantica],62.9,62.9,0.33,6.00E-07,0.19,WP_084842292.1,,
Select seq WP_044803292.1,MULTISPECIES: glucuronoxylanase [Bacillus subtilis group],62.3,62.3,0.57,6.00E-07,0.19,WP_044803292.1,,
Select seq WP_080131572.1,glucuronoxylanase [Bacillus paralicheniformis],62.3,62.3,0.57,6.00E-07,0.19,WP_080131572.1,,
Select seq WP_084810951.1,hypothetical protein [Gillisia limnaea],56.2,56.2,0.12,8.00E-07,0.19,WP_084810951.1,,
Select seq WP_106593806.1,xylanase [Dyadobacter jiangsuensis],62.3,62.3,0.58,8.00E-07,0.19,WP_106593806.1,,
Select seq WP_110582841.1,xylanase [Mucilaginibacter sp. OV119],59.7,59.7,0.55,6.00E-06,0.19,WP_110582841.1,,
Select seq WP_090374535.1,xylanase [Dyadobacter sp. SG02],59.4,59.4,0.22,8.00E-06,0.19,WP_090374535.1,,
Select seq WP_079426626.1,hypothetical protein [Clostridium oryzae],52.1,52.1,0.13,2.00E-05,0.19,WP_079426626.1,,
Select seq WP_110290077.1,carbohydrate-binding protein [Lachnotalea glycerini],54.4,54.4,0.14,3.00E-04,0.19,WP_110290077.1,,
Select seq WP_094376798.1,carbohydrate-binding protein [Lachnotalea glycerini],54.4,54.4,0.14,3.00E-04,0.19,WP_094376798.1,,
Select seq WP_067628874.1,glucosylceramidase [Actinomadura latina],143,143,0.81,9.00E-34,0.2,WP_067628874.1,,
Select seq WP_051760400.1,glucosylceramidase [Herbidospora cretacea],141,141,0.8,4.00E-33,0.2,WP_051760400.1,,
Select seq WP_083949550.1,glucosylceramidase [Herbidospora yilanensis],140,140,0.8,5.00E-33,0.2,WP_083949550.1,,
Select seq WP_119727067.1,glucosylceramidase [Actinomadura amylolytica],140,140,0.81,9.00E-33,0.2,WP_119727067.1,,
Select seq WP_111830595.1,glucosylceramidase [Actinomadura madurae],139,139,0.81,3.00E-32,0.2,WP_111830595.1,,
Select seq WP_075024009.1,glucosylceramidase [Actinomadura madurae],139,139,0.81,3.00E-32,0.2,WP_075024009.1,,
Select seq WP_033437832.1,glucosylceramidase [Saccharothrix sp. NRRL B-16314],138,138,0.82,4.00E-32,0.2,WP_033437832.1,,
Select seq WP_052357379.1,glucosylceramidase [Actinomadura madurae],138,138,0.81,7.00E-32,0.2,WP_052357379.1,,
Select seq WP_091609301.1,glucosylceramidase [Micromonospora mirobrigensis],136,136,0.91,3.00E-31,0.2,WP_091609301.1,,
Select seq WP_121399646.1,glucosylceramidase [Micromonospora sp. M71_S20],135,135,0.8,7.00E-31,0.2,WP_121399646.1,,
Select seq WP_093618576.1,glucosylceramidase [Actinoplanes philippinensis],130,130,0.83,3.00E-29,0.2,WP_093618576.1,,
Select seq WP_089212286.1,glucosylceramidase [Streptosporangium subroseum],128,128,0.83,1.00E-28,0.2,WP_089212286.1,,
Select seq WP_116073388.1,glucosylceramidase [Asanoa ferruginea],126,126,0.8,6.00E-28,0.2,WP_116073388.1,,
Select seq WP_083958236.1,glucosylceramidase [Herbidospora mongoliensis],124,124,0.79,3.00E-27,0.2,WP_083958236.1,,
Select seq WP_052890190.1,hypothetical protein [Thermogemmatispora carboxidivorans],102,102,0.8,1.00E-19,0.2,WP_052890190.1,,
Select seq WP_072304845.1,hypothetical protein [Cellulophaga fucicola],98.6,98.6,0.82,8.00E-19,0.2,WP_072304845.1,,
Select seq WP_069805227.1,hypothetical protein [Thermogemmatispora onikobensis],96.9,96.9,0.76,7.00E-18,0.2,WP_069805227.1,,
Select seq WP_043627632.1,hypothetical protein [Nonomuraea candida],91.9,91.9,0.75,1.00E-16,0.2,WP_043627632.1,,
Select seq WP_007072600.1,endoxylanase [Micromonospora sp. ATCC 39149],91.3,91.3,0.78,3.00E-16,0.2,WP_007072600.1,,
Select seq WP_083770627.1,hypothetical protein [Acidobacterium capsulatum],91.6,91.6,0.78,3.00E-16,0.2,WP_083770627.1,,
Select seq WP_112261206.1,hypothetical protein [Lentzea terrae],89.8,89.8,0.78,7.00E-16,0.2,WP_112261206.1,,
Select seq WP_091281036.1,hypothetical protein [Micromonospora haikouensis],89,89,0.8,2.00E-15,0.2,WP_091281036.1,,
Select seq WP_074477526.1,hypothetical protein [Micromonospora carbonacea],89,89,0.78,2.00E-15,0.2,WP_074477526.1,,
Select seq WP_092755804.1,hypothetical protein [Hydrogenoanaerobacterium saccharovorans],89.5,89.5,0.57,3.00E-15,0.2,WP_092755804.1,,
Select seq WP_109211593.1,hypothetical protein [Microbacterium sp. KCTC 39802],89,89,0.77,3.00E-15,0.2,WP_109211593.1,,
Select seq XP_018761787.1,hypothetical protein FVEG_13578 [Fusarium verticillioides 7600],87.2,87.2,0.79,6.00E-15,0.2,XP_018761787.1,,
Select seq WP_015037920.1,hypothetical protein [Streptomyces venezuelae],86.6,86.6,0.77,9.00E-15,0.2,WP_015037920.1,,
Select seq WP_031002513.1,hypothetical protein [Streptomyces sp. NRRL F-5727],84,84,0.75,6.00E-14,0.2,WP_031002513.1,,
Select seq WP_012786952.1,cellulose-binding protein II [Catenulispora acidiphila],85.1,85.1,0.77,7.00E-14,0.2,WP_012786952.1,,
Select seq WP_111698957.1,hypothetical protein [Microbispora triticiradicis],84,84,0.82,9.00E-14,0.2,WP_111698957.1,,
Select seq XP_023435123.1,uncharacterized protein FFUJ_12945 [Fusarium fujikuroi IMI 58289],83.4,83.4,0.78,1.00E-13,0.2,XP_023435123.1,,
Select seq WP_015793546.1,cellulose-binding protein II [Catenulispora acidiphila],84,84,0.77,1.00E-13,0.2,WP_015793546.1,,
Select seq WP_018557984.1,carbohydrate-binding protein [Streptomyces sp. BoleA5],84,84,0.88,1.00E-13,0.2,WP_018557984.1,,
Select seq WP_030379385.1,MULTISPECIES: hypothetical protein [Streptomyces],83.1,83.1,0.77,2.00E-13,0.2,WP_030379385.1,,
Select seq WP_030313346.1,hypothetical protein [Streptomyces flavochromogenes],81.3,81.3,0.77,5.00E-13,0.2,WP_030313346.1,,
Select seq XP_001275546.1,"cellulose hydrolase, putative [Aspergillus clavatus NRRL 1]",81.6,81.6,0.74,5.00E-13,0.2,XP_001275546.1,,
Select seq WP_083663619.1,glycosyl hydrolase [Sphingobacterium sp. B29],81.3,81.3,0.77,6.00E-13,0.2,WP_083663619.1,,
Select seq WP_083295871.1,glycosyl hydrolase [Sphingobacterium sp. HMSC13C05],80.8,80.8,0.77,9.00E-13,0.2,WP_083295871.1,,
Select seq WP_123456871.1,hypothetical protein [Streptomyces sp. PanSC19],80.5,80.5,0.75,1.00E-12,0.2,WP_123456871.1,,
Select seq WP_107114987.1,hypothetical protein [Streptomyces kanasensis],80.2,80.2,0.77,1.00E-12,0.2,WP_107114987.1,,
Select seq WP_115048595.1,glycosyl hydrolase [Sphingobacterium multivorum],79.6,79.6,0.77,2.00E-12,0.2,WP_115048595.1,,
Select seq WP_088161478.1,glycosyl hydrolase [Sphingobacterium sp. G1-14],79.6,79.6,0.77,2.00E-12,0.2,WP_088161478.1,,
Select seq WP_120335954.1,glycosyl hydrolase [Sphingobacterium siyangense],79,79,0.77,3.00E-12,0.2,WP_120335954.1,,
Select seq WP_045312544.1,hypothetical protein [Lechevalieria aerocolonigenes],78.1,78.1,0.8,5.00E-12,0.2,WP_045312544.1,,
Select seq WP_056563966.1,MULTISPECIES: hypothetical protein [Streptomyces],78.1,78.1,0.75,6.00E-12,0.2,WP_056563966.1,,
Select seq WP_030552150.1,ricin B lectin [Streptomyces exfoliatus],77.8,77.8,0.77,7.00E-12,0.2,WP_030552150.1,,
Select seq WP_112374740.1,glycosyl hydrolase [Sphingobacterium multivorum],78.1,78.1,0.77,7.00E-12,0.2,WP_112374740.1,,
Select seq XP_016588813.1,cellulose hydrolase [Sporothrix schenckii 1099-18],77.8,77.8,0.75,7.00E-12,0.2,XP_016588813.1,,
Select seq WP_065958943.1,hypothetical protein [Streptomyces sparsogenes],77.5,77.5,0.73,8.00E-12,0.2,WP_065958943.1,,
Select seq XP_022579221.1,hypothetical protein ASPZODRAFT_71134 [Penicilliopsis zonata CBS 506.65],77.2,77.2,0.77,1.00E-11,0.2,XP_022579221.1,,
Select seq WP_006675072.1,cellulosome protein dockerin type I [Paenibacillus dendritiformis],77.8,77.8,0.57,1.00E-11,0.2,WP_006675072.1,,
Select seq XP_007912431.1,putative glycoside hydrolase family 30 protein [Phaeoacremonium minimum UCRPA7],76.4,76.4,0.77,2.00E-11,0.2,XP_007912431.1,,
Select seq WP_077011282.1,hypothetical protein [Saccharothrix sp. ALI-22-I],75.8,75.8,0.77,5.00E-11,0.2,WP_077011282.1,,
Select seq WP_095755943.1,carbohydrate-binding protein [Streptomyces sp. SA15],75.8,75.8,0.8,5.00E-11,0.2,WP_095755943.1,,
Select seq WP_115908542.1,hypothetical protein [Streptomyces sp. 75],74.9,74.9,0.58,6.00E-11,0.2,WP_115908542.1,,
Select seq WP_037959451.1,hypothetical protein [Streptomyces sp. PRh5],74.6,74.6,0.73,8.00E-11,0.2,WP_037959451.1,,
Select seq WP_078973672.1,hypothetical protein [Streptomyces sp. MMG1533],72.6,72.6,0.57,3.00E-10,0.2,WP_078973672.1,,
Select seq WP_119987825.1,hypothetical protein [Streptomyces sp. 11-1-2],71.4,71.4,0.78,1.00E-09,0.2,WP_119987825.1,,
Select seq WP_003514882.1,carbohydrate-binding protein [Hungateiclostridium thermocellum],71.4,71.4,0.56,1.00E-09,0.2,WP_003514882.1,,
Select seq WP_124065085.1,carbohydrate-binding protein [Clostridium sp. E02],71.1,71.1,0.57,1.00E-09,0.2,WP_124065085.1,,
Select seq WP_123016875.1,xylanase [Vibrio sp. HBUAS61001],69.9,69.9,0.57,2.00E-09,0.2,WP_123016875.1,,
Select seq XP_022486484.1,hypothetical protein PENARI_c015G01187 [Penicillium arizonense],69.9,69.9,0.79,3.00E-09,0.2,XP_022486484.1,,
Select seq WP_109676987.1,xylanase [Dyadobacter jejuensis],69.9,69.9,0.6,3.00E-09,0.2,WP_109676987.1,,
Select seq WP_023062887.1,carbohydrate-binding protein [Hungateiclostridium thermocellum],69.9,69.9,0.56,4.00E-09,0.2,WP_023062887.1,,
Select seq XP_001907821.1,uncharacterized protein PODANS_7_2000 [Podospora anserina S mat+],69,69,0.27,5.00E-09,0.2,XP_001907821.1,,
Select seq WP_107012369.1,xylanase [Gramella sp. SH35],69,69,0.8,6.00E-09,0.2,WP_107012369.1,,
Select seq WP_109501220.1,hypothetical protein [Streptomyces sp. Act143],68.5,68.5,0.55,8.00E-09,0.2,WP_109501220.1,,
Select seq WP_086010485.1,hypothetical protein [Uliginosibacterium gangwonense],69.3,69.3,0.57,8.00E-09,0.2,WP_086010485.1,,
Select seq WP_081670875.1,carbohydrate-binding protein [Sporocytophaga myxococcoides],69,69,0.6,9.00E-09,0.2,WP_081670875.1,,
Select seq WP_103781151.1,hypothetical protein [Streptomyces sp. Ru71],68.7,68.7,0.76,9.00E-09,0.2,WP_103781151.1,,
Select seq WP_123964693.1,hypothetical protein [Streptomyces sp. TLI_185],68.2,68.2,0.58,1.00E-08,0.2,WP_123964693.1,,
Select seq WP_028404904.1,glucuronoxylanase [Bacillus sp. J13],67.3,67.3,0.59,2.00E-08,0.2,WP_028404904.1,,
Select seq WP_030932396.1,hypothetical protein [Streptomyces sp. NRRL S-646],67.6,67.6,0.58,2.00E-08,0.2,WP_030932396.1,,
Select seq WP_077566715.1,glucuronoxylanase [Paenibacillus ihbetae],67,67,0.59,2.00E-08,0.2,WP_077566715.1,,
Select seq WP_071221759.1,glucuronoxylanase [Paenibacillus sp. LC231],66.7,66.7,0.59,2.00E-08,0.2,WP_071221759.1,,
Select seq WP_093908040.1,hypothetical protein [Streptomyces sp. cf386],67.6,67.6,0.57,3.00E-08,0.2,WP_093908040.1,,
Select seq WP_107406598.1,hypothetical protein [Streptomyces lincolnensis],66.1,66.1,0.58,4.00E-08,0.2,WP_107406598.1,,
Select seq WP_082577191.1,MULTISPECIES: hypothetical protein [Massilia],66.1,66.1,0.58,5.00E-08,0.2,WP_082577191.1,,
Select seq WP_092544348.1,hypothetical protein [Actinoplanes derwentensis],66.1,66.1,0.58,6.00E-08,0.2,WP_092544348.1,,
Select seq WP_007130169.1,glucuronoxylanase xynC [Paenibacillus lactis],65.5,65.5,0.59,6.00E-08,0.2,WP_007130169.1,,
Select seq WP_072954222.1,xylanase [Vibrio gazogenes],65.5,65.5,0.57,6.00E-08,0.2,WP_072954222.1,,
Select seq WP_028517410.1,endo-xylanase [Ruminococcus flavefaciens],66.7,66.7,0.6,6.00E-08,0.2,WP_028517410.1,,
Select seq WP_095533275.1,xylanase [Vibrio spartinae],64.9,64.9,0.57,8.00E-08,0.2,WP_095533275.1,,
Select seq WP_111624939.1,xylanase [Arenibacter echinorum],64.9,64.9,0.33,1.00E-07,0.2,WP_111624939.1,,
Select seq WP_090103367.1,xylanase [Chitinophaga sp. CF118],63.2,63.2,0.22,5.00E-07,0.2,WP_090103367.1,,
Select seq WP_072949375.1,endo-xylanase [Ruminococcus flavefaciens],63.5,63.5,0.12,6.00E-07,0.2,WP_072949375.1,,
Select seq WP_039009335.1,xylanase [Xanthomonas translucens],61.7,61.7,0.12,9.00E-07,0.2,WP_039009335.1,,
Select seq WP_026631400.1,xylanase [Dyadobacter alkalitolerans],62,62,0.32,1.00E-06,0.2,WP_026631400.1,,
Select seq WP_003465794.1,xylanase precursor [Xanthomonas translucens],60.8,60.8,0.12,2.00E-06,0.2,WP_003465794.1,,
Select seq WP_081045926.1,xylanase [Xanthomonas translucens],61.1,61.1,0.12,2.00E-06,0.2,WP_081045926.1,,
Select seq WP_038236548.1,xylanase [Xanthomonas translucens],60.8,60.8,0.12,2.00E-06,0.2,WP_038236548.1,,
Select seq WP_107083871.1,hypothetical protein [Streptomyces viridochromogenes],60.5,60.5,0.58,3.00E-06,0.2,WP_107083871.1,,
Select seq WP_093208788.1,xylanase [Siphonobacter aquaeclarae],60.8,60.8,0.19,3.00E-06,0.2,WP_093208788.1,,
Select seq WP_090145689.1,xylanase [Dyadobacter soli],59.7,59.7,0.15,6.00E-06,0.2,WP_090145689.1,,
Select seq WP_091077584.1,cellulose-binding protein [Nonomuraea wenchangensis],58.2,58.2,0.13,2.00E-05,0.2,WP_091077584.1,,
Select seq WP_086709870.1,glucuronoxylanase [Streptomyces castelarensis],52.9,52.9,0.12,8.00E-04,0.2,WP_086709870.1,,
Select seq WP_059148636.1,glucuronoxylanase [Streptomyces violaceusniger],52.6,52.6,0.12,8.00E-04,0.2,WP_059148636.1,,
Select seq WP_056156444.1,xylanase [Duganella sp. Leaf126],52.3,52.3,0.12,0.001,0.2,WP_056156444.1,,
Select seq XP_018734795.1,"beta-1,6-glucanase Neg1 [Sugiyamaella lignohabitans]",51.8,51.8,0.75,0.002,0.2,XP_018734795.1,,
Select seq WP_089293134.1,glucosylceramidase [Actinoplanes regularis],145,145,0.8,1.00E-34,0.21,WP_089293134.1,,
Select seq WP_084794135.1,glucosylceramidase [Actinokineospora bangkokensis],142,142,0.84,2.00E-33,0.21,WP_084794135.1,,
Select seq WP_033344663.1,glucosylceramidase [Catenuloplanes japonicus],141,141,0.81,2.00E-33,0.21,WP_033344663.1,,
Select seq WP_049578906.1,glucosylceramidase [Streptomyces sp. SBT349],141,141,0.83,3.00E-33,0.21,WP_049578906.1,,
Select seq WP_018834186.1,glucosylceramidase [Streptomyces sp. CNQ766],141,141,0.85,7.00E-33,0.21,WP_018834186.1,,
Select seq WP_051765548.1,glucosylceramidase [Saccharothrix syringae],140,140,0.8,7.00E-33,0.21,WP_051765548.1,,
Select seq WP_014688005.1,MULTISPECIES: glucosylceramidase [Actinoplanes],139,139,0.8,1.00E-32,0.21,WP_014688005.1,,
Select seq WP_121226973.1,glucosylceramidase [Saccharothrix variisporea],139,139,0.79,1.00E-32,0.21,WP_121226973.1,,
Select seq WP_014440959.1,glucosylceramidase [Actinoplanes missouriensis],139,139,0.79,2.00E-32,0.21,WP_014440959.1,,
Select seq WP_106315391.1,glucosylceramidase [Actinoplanes italicus],139,139,0.78,2.00E-32,0.21,WP_106315391.1,,
Select seq WP_109599645.1,glucosylceramidase [Actinoplanes xinjiangensis],139,139,0.87,2.00E-32,0.21,WP_109599645.1,,
